Lower layer Super Output Areas Code,Tenure of household (7 categories),Observation
E01004682,Social rented: Other social rented,50
E01004682,Private rented: Private landlord or letting agency,413
E01004682,Private rented: Other private rented or lives rent free,33
E01004683,Does not apply,0
E01004683,Owned: Owns outright,188
E01004683,Owned: Owns with a mortgage or loan or shared ownership,120
E01004683,Social rented: Rents from council or Local Authority,15
E01004683,Social rented: Other social rented,24
E01004683,Private rented: Private landlord or letting agency,234
E01004683,Private rented: Other private rented or lives rent free,42
E01004684,Does not apply,0
E01004684,Owned: Owns outright,107
E01004684,Owned: Owns with a mortgage or loan or shared ownership,52
E01004684,Social rented: Rents from council or Local Authority,11
E01004684,Social rented: Other social rented,15
E01004684,Private rented: Private landlord or letting agency,254
E01004684,Private rented: Other private rented or lives rent free,33
E01004686,Does not apply,0
E01004686,Owned: Owns outright,115
E01004686,Owned: Owns with a mortgage or loan or shared ownership,70
E01004686,Social rented: Rents from council or Local Authority,9
E01004686,Social rented: Other social rented,54
E01004686,Private rented: Private landlord or letting agency,466
E01004686,Private rented: Other private rented or lives rent free,34
E01004687,Does not apply,0
E01004687,Owned: Owns outright,243
E01004687,Owned: Owns with a mortgage or loan or shared ownership,138
E01004687,Social rented: Rents from council or Local Authority,7
E01004687,Social rented: Other social rented,12
E01004687,Private rented: Private landlord or letting agency,236
E01004687,Private rented: Other private rented or lives rent free,36
E01004690,Does not apply,0
E01004690,Owned: Owns outright,156
E01004690,Owned: Owns with a mortgage or loan or shared ownership,78
E01004690,Social rented: Rents from council or Local Authority,6
E01004690,Social rented: Other social rented,13
E01004690,Private rented: Private landlord or letting agency,135
E01004690,Private rented: Other private rented or lives rent free,47
E01004691,Does not apply,0
E01004691,Owned: Owns outright,145
E01004691,Owned: Owns with a mortgage or loan or shared ownership,58
E01004691,Social rented: Rents from council or Local Authority,4
E01004691,Social rented: Other social rented,7
E01004691,Private rented: Private landlord or letting agency,222
E01004691,Private rented: Other private rented or lives rent free,38
E01004692,Does not apply,0
E01004692,Owned: Owns outright,175
E01004692,Owned: Owns with a mortgage or loan or shared ownership,41
E01004692,Social rented: Rents from council or Local Authority,10
E01004692,Social rented: Other social rented,7
E01004692,Private rented: Private landlord or letting agency,168
E01004692,Private rented: Other private rented or lives rent free,47
E01004693,Does not apply,0
E01004693,Owned: Owns outright,170
E01004693,Owned: Owns with a mortgage or loan or shared ownership,84
E01004693,Social rented: Rents from council or Local Authority,16
E01004693,Social rented: Other social rented,20
E01004693,Private rented: Private landlord or letting agency,252
E01004693,Private rented: Other private rented or lives rent free,47
E01004694,Does not apply,0
E01004694,Owned: Owns outright,126
E01004694,Owned: Owns with a mortgage or loan or shared ownership,70
E01004694,Social rented: Rents from council or Local Authority,2
E01004694,Social rented: Other social rented,21
E01004694,Private rented: Private landlord or letting agency,518
E01004694,Private rented: Other private rented or lives rent free,36
E01004695,Does not apply,0
E01004695,Owned: Owns outright,91
E01004695,Owned: Owns with a mortgage or loan or shared ownership,52
E01004695,Social rented: Rents from council or Local Authority,14
E01004695,Social rented: Other social rented,28
E01004695,Private rented: Private landlord or letting agency,340
E01004695,Private rented: Other private rented or lives rent free,22
E01004696,Does not apply,0
E01004696,Owned: Owns outright,112
E01004696,Owned: Owns with a mortgage or loan or shared ownership,92
E01004696,Social rented: Rents from council or Local Authority,268
E01004696,Social rented: Other social rented,23
E01004696,Private rented: Private landlord or letting agency,176
E01004696,Private rented: Other private rented or lives rent free,23
E01004697,Does not apply,0
E01004697,Owned: Owns outright,147
E01004697,Owned: Owns with a mortgage or loan or shared ownership,90
E01004697,Social rented: Rents from council or Local Authority,39
E01004697,Social rented: Other social rented,36
E01004697,Private rented: Private landlord or letting agency,330
E01004697,Private rented: Other private rented or lives rent free,23
E01004698,Does not apply,0
E01004698,Owned: Owns outright,101
E01004698,Owned: Owns with a mortgage or loan or shared ownership,61
E01004698,Social rented: Rents from council or Local Authority,32
E01004698,Social rented: Other social rented,19
E01004698,Private rented: Private landlord or letting agency,388
E01004698,Private rented: Other private rented or lives rent free,33
E01004699,Does not apply,0
E01004699,Owned: Owns outright,128
E01004699,Owned: Owns with a mortgage or loan or shared ownership,91
E01004699,Social rented: Rents from council or Local Authority,15
E01004699,Social rented: Other social rented,40
E01004699,Private rented: Private landlord or letting agency,589
E01004699,Private rented: Other private rented or lives rent free,36
E01004700,Does not apply,0
E01004700,Owned: Owns outright,120
E01004700,Owned: Owns with a mortgage or loan or shared ownership,110
E01004700,Social rented: Rents from council or Local Authority,23
E01004700,Social rented: Other social rented,61
E01004700,Private rented: Private landlord or letting agency,444
E01004700,Private rented: Other private rented or lives rent free,15
E01004701,Does not apply,0
E01004701,Owned: Owns outright,166
E01004701,Owned: Owns with a mortgage or loan or shared ownership,152
E01004701,Social rented: Rents from council or Local Authority,7
E01004701,Social rented: Other social rented,37
E01004701,Private rented: Private landlord or letting agency,381
E01004701,Private rented: Other private rented or lives rent free,30
E01004702,Does not apply,0
E01004702,Owned: Owns outright,104
E01004702,Owned: Owns with a mortgage or loan or shared ownership,63
E01004702,Social rented: Rents from council or Local Authority,443
E01004702,Social rented: Other social rented,157
E01004702,Private rented: Private landlord or letting agency,279
E01004702,Private rented: Other private rented or lives rent free,25
E01004703,Does not apply,0
E01004703,Owned: Owns outright,248
E01004703,Owned: Owns with a mortgage or loan or shared ownership,181
E01004703,Social rented: Rents from council or Local Authority,34
E01004703,Social rented: Other social rented,26
E01004703,Private rented: Private landlord or letting agency,331
E01004703,Private rented: Other private rented or lives rent free,44
E01004705,Does not apply,0
E01004705,Owned: Owns outright,137
E01004705,Owned: Owns with a mortgage or loan or shared ownership,117
E01004705,Social rented: Rents from council or Local Authority,9
E01004705,Social rented: Other social rented,30
E01004705,Private rented: Private landlord or letting agency,268
E01004705,Private rented: Other private rented or lives rent free,26
E01004706,Does not apply,0
E01004706,Owned: Owns outright,124
E01004706,Owned: Owns with a mortgage or loan or shared ownership,153
E01004706,Social rented: Rents from council or Local Authority,21
E01004706,Social rented: Other social rented,20
E01004706,Private rented: Private landlord or letting agency,347
E01004706,Private rented: Other private rented or lives rent free,17
E01004707,Does not apply,0
E01004707,Owned: Owns outright,181
E01004707,Owned: Owns with a mortgage or loan or shared ownership,174
E01004707,Social rented: Rents from council or Local Authority,4
E01004707,Social rented: Other social rented,9
E01004707,Private rented: Private landlord or letting agency,356
E01004707,Private rented: Other private rented or lives rent free,28
E01004708,Does not apply,0
E01004708,Owned: Owns outright,89
E01004708,Owned: Owns with a mortgage or loan or shared ownership,141
E01004708,Social rented: Rents from council or Local Authority,59
E01004708,Social rented: Other social rented,105
E01004708,Private rented: Private landlord or letting agency,307
E01004708,Private rented: Other private rented or lives rent free,24
E01004709,Does not apply,0
E01004709,Owned: Owns outright,105
E01004709,Owned: Owns with a mortgage or loan or shared ownership,119
E01004709,Social rented: Rents from council or Local Authority,60
E01004709,Social rented: Other social rented,148
E01004709,Private rented: Private landlord or letting agency,261
E01004709,Private rented: Other private rented or lives rent free,23
E01004710,Does not apply,0
E01004710,Owned: Owns outright,76
E01004710,Owned: Owns with a mortgage or loan or shared ownership,97
E01004710,Social rented: Rents from council or Local Authority,273
E01004710,Social rented: Other social rented,57
E01004710,Private rented: Private landlord or letting agency,197
E01004710,Private rented: Other private rented or lives rent free,21
E01004711,Does not apply,0
E01004711,Owned: Owns outright,61
E01004711,Owned: Owns with a mortgage or loan or shared ownership,58
E01004711,Social rented: Rents from council or Local Authority,186
